problem_name,cost,time
sawt20_0,52.8300,0.0960
sawt20_1,53.0650,0.0950
sawt20_2,63.2050,0.0660
sawt20_3,61.6070,0.0660
sawt20_4,45.1900,0.0660
sawt20_5,54.3240,0.0660
sawt20_6,55.0160,0.0660
sawt20_7,47.3210,0.0680
sawt20_8,52.5820,0.0660
sawt20_9,41.6040,0.0670
sawt20_10,45.2520,0.0670
sawt20_11,56.7610,0.0650
sawt20_12,42.5380,0.0650
sawt20_13,54.2030,0.0660
sawt20_14,56.0740,0.0670
sawt20_15,44.4530,0.0680
sawt20_16,55.4600,0.0660
sawt20_17,53.0190,0.0660
sawt20_18,63.8180,0.0670
sawt20_19,53.7910,0.0660
sawt20_20,60.6890,0.0660
sawt20_21,56.1150,0.0650
sawt20_22,54.6190,0.0660
sawt20_23,52.7090,0.0670
sawt20_24,46.8450,0.0670
sawt20_25,57.9930,0.0670
sawt20_26,54.1400,0.0660
sawt20_27,52.1160,0.0660
sawt20_28,64.3000,0.0660
sawt20_29,55.0490,0.0660
sawt20_30,61.9740,0.0660
sawt20_31,41.2830,0.0670
sawt20_32,47.4850,0.0660
sawt20_33,48.2920,0.0670
sawt20_34,57.6390,0.0670
sawt20_35,54.3540,0.0660
sawt20_36,52.3940,0.0670
sawt20_37,59.1120,0.0650
sawt20_38,54.1970,0.0660
sawt20_39,62.2260,0.0650
sawt20_40,76.1710,0.0670
sawt20_41,60.1950,0.0650
sawt20_42,42.1640,0.0660
sawt20_43,55.7500,0.0670
sawt20_44,48.3780,0.0660
sawt20_45,57.4780,0.0660
sawt20_46,45.0850,0.0660
sawt20_47,59.8290,0.0660
sawt20_48,63.5070,0.0660
sawt20_49,55.9800,0.0670
sawt20_50,45.0210,0.0660
sawt20_51,50.8470,0.0670
sawt20_52,56.9210,0.0670
sawt20_53,58.3580,0.0660
sawt20_54,42.5210,0.0660
sawt20_55,51.9120,0.0660
sawt20_56,43.8300,0.0660
sawt20_57,46.5020,0.0660
sawt20_58,54.4200,0.0670
sawt20_59,53.8420,0.0670
sawt20_60,58.4540,0.0670
sawt20_61,56.3910,0.0680
sawt20_62,53.8200,0.0650
sawt20_63,50.5290,0.0670
sawt20_64,64.9360,0.0660
sawt20_65,60.0930,0.0650
sawt20_66,51.7730,0.0660
sawt20_67,55.3310,0.0680
sawt20_68,56.6320,0.0670
sawt20_69,55.6740,0.0660
sawt20_70,54.3990,0.0660
sawt20_71,69.9590,0.0650
sawt20_72,52.3590,0.0670
sawt20_73,50.4630,0.0650
sawt20_74,39.9260,0.0660
sawt20_75,46.8650,0.0660
sawt20_76,49.2190,0.0670
sawt20_77,51.0940,0.0670
sawt20_78,52.7260,0.0660
sawt20_79,62.3900,0.0670
sawt20_80,56.4320,0.0670
sawt20_81,51.1160,0.0670
sawt20_82,56.0650,0.0660
sawt20_83,55.5270,0.0660
sawt20_84,51.9470,0.0650
sawt20_85,67.9420,0.0670
sawt20_86,62.4780,0.0660
sawt20_87,47.9610,0.0660
sawt20_88,49.0200,0.0670
sawt20_89,55.4980,0.0660
sawt20_90,52.9150,0.0660
sawt20_91,60.0250,0.0660
sawt20_92,51.0700,0.0670
sawt20_93,42.6200,0.0660
sawt20_94,63.4430,0.0670
sawt20_95,45.2200,0.0660
sawt20_96,71.0670,0.0660
sawt20_97,51.4650,0.0660
sawt20_98,61.5010,0.0660
sawt20_99,60.4870,0.0660
sawt20_100,57.3930,0.0660
sawt20_101,50.9120,0.0660
sawt20_102,43.0130,0.0660
sawt20_103,58.5170,0.0670
sawt20_104,49.3480,0.0680
sawt20_105,64.1830,0.0670
sawt20_106,43.4340,0.0660
sawt20_107,55.5030,0.0670
sawt20_108,56.1620,0.0660
sawt20_109,46.2170,0.0650
sawt20_110,43.4600,0.0660
sawt20_111,57.4770,0.0660
sawt20_112,63.1370,0.0660
sawt20_113,50.3970,0.0680
sawt20_114,61.5220,0.0670
sawt20_115,60.7520,0.0660
sawt20_116,64.5880,0.0670
sawt20_117,56.1170,0.0660
sawt20_118,51.2560,0.0650
sawt20_119,51.6050,0.0660
sawt20_120,59.7750,0.0670
sawt20_121,55.7730,0.0670
sawt20_122,40.7040,0.0670
sawt20_123,49.1480,0.0670
sawt20_124,46.1090,0.0670
sawt20_125,48.7790,0.0670
sawt20_126,57.0200,0.0660
sawt20_127,49.8270,0.0660
sawt20_128,51.9470,0.0670
sawt20_129,55.6120,0.0670
sawt20_130,64.6710,0.0670
sawt20_131,48.3410,0.0650
sawt20_132,50.1070,0.0670
sawt20_133,55.6480,0.0650
sawt20_134,56.8440,0.0660
sawt20_135,48.0680,0.0660
sawt20_136,60.6570,0.0650
sawt20_137,43.9100,0.0660
sawt20_138,51.3880,0.0660
sawt20_139,56.6920,0.0670
sawt20_140,58.6830,0.0660
sawt20_141,66.1590,0.0670
sawt20_142,53.8830,0.0670
sawt20_143,53.7270,0.0670
sawt20_144,54.3600,0.0660
sawt20_145,48.3950,0.0660
sawt20_146,49.1550,0.0660
sawt20_147,48.7420,0.0660
sawt20_148,61.6060,0.0680
sawt20_149,52.0870,0.0660
sawt20_150,48.6600,0.0670
sawt20_151,56.4510,0.0660
sawt20_152,59.7180,0.0670
sawt20_153,58.1080,0.0660
sawt20_154,36.5330,0.0660
sawt20_155,49.9810,0.0660
sawt20_156,58.2530,0.0660
sawt20_157,44.3800,0.0660
sawt20_158,56.0880,0.0660
sawt20_159,57.5250,0.0660
sawt20_160,51.8930,0.0670
sawt20_161,53.0520,0.0660
sawt20_162,57.3900,0.0650
sawt20_163,59.3880,0.0660
sawt20_164,59.6740,0.0660
sawt20_165,58.2420,0.0670
sawt20_166,52.2170,0.0670
sawt20_167,49.5550,0.0660
sawt20_168,60.9190,0.0660
sawt20_169,57.5260,0.0660
sawt20_170,45.8880,0.0670
sawt20_171,48.1560,0.0660
sawt20_172,46.3770,0.0660
sawt20_173,47.7110,0.0670
sawt20_174,58.0330,0.0670
sawt20_175,63.1850,0.0670
sawt20_176,52.6920,0.0670
sawt20_177,56.1340,0.0660
sawt20_178,60.1040,0.0670
sawt20_179,64.7690,0.0660
sawt20_180,49.5810,0.0660
sawt20_181,59.9470,0.0660
sawt20_182,44.5810,0.0650
sawt20_183,48.2550,0.0670
sawt20_184,61.8450,0.0680
sawt20_185,48.1840,0.0670
sawt20_186,46.1790,0.0670
sawt20_187,64.8270,0.0680
sawt20_188,56.0630,0.0660
sawt20_189,52.2560,0.0670
sawt20_190,55.1080,0.0660
sawt20_191,43.9770,0.0670
sawt20_192,55.9330,0.0680
sawt20_193,47.2620,0.0660
sawt20_194,52.7140,0.0660
sawt20_195,48.8900,0.0660
sawt20_196,47.6700,0.0660
sawt20_197,55.7570,0.0660
sawt20_198,62.9940,0.0650
sawt20_199,44.6120,0.0670
sawt20_200,41.6850,0.0660
