problem_name,cost,time
sawt500_0,44119.1650,1709.2620
sawt500_1,41265.3740,1711.0210
sawt500_2,43599.9600,1707.9860
sawt500_3,42965.5790,1716.2830
sawt500_4,43505.6010,1707.2450
sawt500_5,43696.7220,1705.7920
sawt500_6,42801.8410,1699.6540
sawt500_7,42214.2500,1710.5220
sawt500_8,41608.6900,1707.0900
sawt500_9,43797.4350,1708.8100
sawt500_10,42629.4100,1711.4740
sawt500_11,43161.8440,1715.5790
sawt500_12,43900.8900,1704.6070
sawt500_13,43040.0760,1708.6790
sawt500_14,43651.8830,1706.8800
sawt500_15,43356.5780,1706.8930
sawt500_16,42465.6760,1705.4540
sawt500_17,43566.9120,1704.5050
sawt500_18,42912.7750,1708.1710
sawt500_19,42770.3500,1701.2100
sawt500_20,42999.4670,1707.7700
sawt500_21,42164.1670,1705.2080
sawt500_22,42677.7720,1709.6440
sawt500_23,43202.0710,1700.1520
sawt500_24,43948.7670,1710.9420
sawt500_25,42972.7320,1706.8460
sawt500_26,43928.0310,1715.1450
sawt500_27,43551.2590,1708.2430
sawt500_28,42929.3710,1705.8140
sawt500_29,43688.9380,1703.7160
sawt500_30,42776.2720,1698.5490
sawt500_31,43812.0640,1701.3610
sawt500_32,43146.2760,1710.1180
sawt500_33,42180.0810,1638.3210
sawt500_34,41693.3560,1700.3790
sawt500_35,43011.5760,1700.5600
sawt500_36,42893.1720,1696.1720
sawt500_37,43336.7120,1701.2780
sawt500_38,42824.3280,1702.2780
sawt500_39,42973.7940,1707.5400
sawt500_40,41544.1390,1708.7460
sawt500_41,42790.6570,1702.6150
sawt500_42,42420.8530,1699.6240
sawt500_43,42590.1110,1707.1460
sawt500_44,43809.2210,1706.2100
sawt500_45,42643.0610,1708.1880
sawt500_46,42987.8730,1704.9440
sawt500_47,42641.2100,1706.1420
sawt500_48,42674.3420,1656.2450
sawt500_49,42739.1930,1583.1890
sawt500_50,42932.9540,1553.8170
sawt500_51,44182.4910,1577.6680
sawt500_52,42529.0060,1598.4090
sawt500_53,43463.1780,1566.2590
sawt500_54,44196.9130,1593.3070
sawt500_55,42660.0680,1562.0370
sawt500_56,43128.5560,1595.4500
sawt500_57,42755.6460,1673.3430
sawt500_58,42213.2300,1683.0900
sawt500_59,43194.4880,1720.4030
sawt500_60,42030.5020,1743.1300
sawt500_61,44276.0940,1725.8700
sawt500_62,43503.4800,1588.8650
sawt500_63,44179.2800,1664.2870
