problem_name,cost,time
uniform100_0,2156.0410,9.1850
uniform100_1,2214.5310,9.1520
uniform100_2,2183.4600,9.1300
uniform100_3,2199.6670,9.1490
uniform100_4,2155.7040,9.1370
uniform100_5,2208.5590,9.1320
uniform100_6,2211.4390,9.1310
uniform100_7,2227.2960,9.1330
uniform100_8,2203.2960,9.1250
uniform100_9,2226.2230,9.1260
uniform100_10,2187.9960,9.1300
uniform100_11,2174.1390,9.1270
uniform100_12,2170.1530,9.1410
uniform100_13,2171.9450,9.1310
uniform100_14,2176.5540,9.1320
uniform100_15,2229.5660,9.1350
uniform100_16,2242.7860,9.1310
uniform100_17,2217.9640,9.1480
uniform100_18,2203.6980,9.1200
uniform100_19,2210.7230,9.1360
uniform100_20,2197.9180,9.1300
uniform100_21,2182.8740,9.1240
uniform100_22,2254.3460,9.1580
uniform100_23,2147.7520,9.1290
uniform100_24,2187.2860,9.1320
uniform100_25,2208.9630,9.1400
uniform100_26,2197.5520,9.1400
uniform100_27,2165.3930,9.1350
uniform100_28,2173.5350,9.1290
uniform100_29,2243.2680,9.1260
uniform100_30,2195.2340,9.1520
uniform100_31,2221.3640,9.1300
uniform100_32,2197.5060,9.1360
uniform100_33,2202.0780,9.1330
uniform100_34,2138.1470,9.1330
uniform100_35,2240.4090,9.2010
uniform100_36,2215.0810,9.1310
uniform100_37,2181.7710,9.1330
uniform100_38,2202.3370,9.1330
uniform100_39,2180.9880,9.1370
uniform100_40,2172.3480,9.1320
uniform100_41,2199.1080,9.1310
uniform100_42,2199.9360,9.1390
uniform100_43,2241.2340,9.1390
uniform100_44,2190.8930,9.1340
uniform100_45,2178.1380,9.1340
uniform100_46,2214.8430,9.1320
uniform100_47,2205.5110,9.1240
uniform100_48,2221.0130,9.1200
uniform100_49,2236.6080,9.1330
uniform100_50,2180.9110,9.1340
uniform100_51,2223.7980,9.1380
uniform100_52,2216.9500,9.1340
uniform100_53,2160.9100,9.1370
uniform100_54,2240.7290,9.1380
uniform100_55,2166.9800,9.1360
uniform100_56,2184.0760,9.1330
uniform100_57,2196.4740,9.1510
uniform100_58,2228.0900,9.1290
uniform100_59,2212.9850,9.1540
uniform100_60,2205.9490,9.1370
uniform100_61,2129.1310,9.1290
uniform100_62,2261.0940,9.1330
