problem_name,cost,time
uniform50_0,531.3270,1.1360
uniform50_1,517.7540,1.0780
uniform50_2,531.9040,1.0790
uniform50_3,534.7840,1.0760
uniform50_4,507.1880,1.0780
uniform50_5,515.8100,1.0770
uniform50_6,514.4360,1.0770
uniform50_7,525.8260,1.0790
uniform50_8,520.5170,1.0780
uniform50_9,533.2830,1.0770
uniform50_10,516.1880,1.0760
uniform50_11,519.2230,1.0770
uniform50_12,522.7020,1.0770
uniform50_13,528.6020,1.0800
uniform50_14,516.6310,1.0760
uniform50_15,536.1140,1.0790
uniform50_16,494.3960,1.0760
uniform50_17,532.1390,1.0760
uniform50_18,527.5720,1.0750
uniform50_19,523.1190,1.0750
uniform50_20,544.6000,1.0760
uniform50_21,493.0870,1.0780
uniform50_22,508.1150,1.0790
uniform50_23,536.4760,1.0750
uniform50_24,524.1660,1.0810
uniform50_25,535.0610,1.0770
uniform50_26,526.9780,1.0760
uniform50_27,538.5680,1.0770
uniform50_28,529.1990,1.0780
uniform50_29,519.3910,1.0790
uniform50_30,557.8580,1.0750
uniform50_31,510.8600,1.0760
uniform50_32,527.6720,1.0770
uniform50_33,529.6540,1.0760
uniform50_34,511.0130,1.0820
uniform50_35,512.9240,1.0770
uniform50_36,536.8550,1.0780
uniform50_37,507.9280,1.0810
uniform50_38,502.3010,1.0770
uniform50_39,529.7990,1.0770
uniform50_40,526.8100,1.0760
uniform50_41,520.4360,1.0770
uniform50_42,537.3880,1.0760
uniform50_43,503.1190,1.0760
uniform50_44,520.0050,1.0770
uniform50_45,532.2180,1.0760
uniform50_46,518.3650,1.0810
uniform50_47,531.4730,1.0770
uniform50_48,517.3830,1.0760
uniform50_49,542.3320,1.0770
uniform50_50,523.0140,1.0760
uniform50_51,525.2060,1.0770
uniform50_52,500.1750,1.0780
uniform50_53,511.6790,1.0800
uniform50_54,538.6230,1.0790
uniform50_55,517.3910,1.0760
uniform50_56,524.0240,1.0780
uniform50_57,516.3570,1.0750
uniform50_58,535.7000,1.0770
uniform50_59,496.9230,1.0770
uniform50_60,525.3380,1.0760
uniform50_61,534.4690,1.0750
uniform50_62,514.3040,1.0760
uniform50_63,532.2450,1.0800
uniform50_64,528.0180,1.0760
uniform50_65,535.1600,1.0780
uniform50_66,505.2380,1.0770
uniform50_67,513.0180,1.0750
uniform50_68,513.6130,1.0760
uniform50_69,545.4390,1.0780
uniform50_70,532.5910,1.0790
uniform50_71,522.1020,1.0760
uniform50_72,533.9470,1.0760
uniform50_73,521.9560,1.0770
uniform50_74,514.7650,1.0820
uniform50_75,526.2320,1.0760
uniform50_76,526.5430,1.0770
uniform50_77,525.4730,1.0760
uniform50_78,567.5650,1.0790
uniform50_79,506.9800,1.0780
uniform50_80,534.3680,1.0790
uniform50_81,533.1320,1.0750
uniform50_82,505.8720,1.0750
uniform50_83,543.5200,1.0810
uniform50_84,507.9120,1.0770
uniform50_85,533.8910,1.0790
uniform50_86,519.7000,1.0750
uniform50_87,488.5980,1.0770
uniform50_88,502.3390,1.0800
uniform50_89,524.1470,1.0760
uniform50_90,540.9600,1.0780
uniform50_91,505.0250,1.0760
