problem_name,cost,time
uniform50_0,530.2140,5.4410
uniform50_1,516.3610,5.3910
uniform50_2,530.7740,5.3810
uniform50_3,532.2570,5.3840
uniform50_4,507.8820,5.4110
uniform50_5,515.4710,5.3820
uniform50_6,512.2240,5.3820
uniform50_7,524.5560,5.3960
uniform50_8,519.1200,5.3840
uniform50_9,531.4360,5.3790
uniform50_10,514.5490,5.3740
uniform50_11,518.1550,5.3830
uniform50_12,522.4050,5.4090
uniform50_13,528.0210,5.3860
uniform50_14,515.4750,5.3820
uniform50_15,535.1040,5.3910
uniform50_16,490.7980,5.3840
uniform50_17,529.9880,5.3820
uniform50_18,527.9940,5.3810
uniform50_19,521.7800,5.3820
uniform50_20,542.8710,5.3790
uniform50_21,491.2140,5.3890
uniform50_22,506.9450,5.3780
uniform50_23,535.4420,5.4060
uniform50_24,522.0340,5.3840
uniform50_25,533.8790,5.3810
uniform50_26,525.9390,5.3780
uniform50_27,538.9770,5.3870
uniform50_28,527.8840,5.3780
uniform50_29,517.4000,5.3990
uniform50_30,557.5230,5.3820
uniform50_31,510.1910,5.4040
uniform50_32,526.8450,5.3920
uniform50_33,528.3800,5.3970
uniform50_34,507.9800,5.3850
uniform50_35,512.6740,5.4080
uniform50_36,533.5880,5.3860
uniform50_37,507.1840,5.3780
uniform50_38,500.1540,5.3780
uniform50_39,527.0010,5.3790
uniform50_40,526.5760,5.3800
uniform50_41,518.8350,5.3780
uniform50_42,536.5300,5.3820
uniform50_43,502.5320,5.4030
uniform50_44,519.2740,5.3880
uniform50_45,532.4940,5.3850
uniform50_46,517.3790,5.3800
uniform50_47,530.4120,5.3870
uniform50_48,517.3800,5.3940
uniform50_49,540.9040,5.3860
uniform50_50,523.6460,5.3870
uniform50_51,523.4660,5.3840
uniform50_52,500.5710,5.4180
uniform50_53,511.1560,5.3880
uniform50_54,535.7970,5.3830
uniform50_55,516.8080,5.3850
uniform50_56,523.5510,5.3930
uniform50_57,515.8350,5.3830
uniform50_58,536.2720,5.3910
uniform50_59,497.2840,5.3850
uniform50_60,525.8760,5.3830
uniform50_61,532.0880,5.3790
uniform50_62,513.4850,5.3810
uniform50_63,530.3090,5.3860
uniform50_64,526.5260,5.3870
uniform50_65,534.6470,5.3790
uniform50_66,500.2620,5.4080
uniform50_67,510.8250,5.3790
uniform50_68,511.7990,5.3830
uniform50_69,543.3750,5.3910
uniform50_70,529.6550,5.3950
uniform50_71,521.0590,5.4080
uniform50_72,534.2380,5.3800
uniform50_73,521.7720,5.3860
uniform50_74,515.5230,5.3880
uniform50_75,524.8720,5.3800
uniform50_76,522.3810,5.3860
uniform50_77,526.3620,5.3820
uniform50_78,568.3570,5.3860
uniform50_79,506.5980,5.3830
uniform50_80,534.7380,5.3860
uniform50_81,532.4880,5.3970
uniform50_82,506.0820,5.3820
uniform50_83,542.5150,5.3970
uniform50_84,505.1500,5.3830
uniform50_85,532.3990,5.3840
uniform50_86,518.6920,5.3880
uniform50_87,487.7550,5.3900
uniform50_88,498.7160,5.3890
uniform50_89,522.4960,5.3930
uniform50_90,538.3860,5.3830
uniform50_91,502.7580,5.3850
uniform50_92,494.1470,5.3860
uniform50_93,524.5260,5.3830
uniform50_94,491.8570,5.3850
uniform50_95,532.3490,5.3880
uniform50_96,528.8980,5.3920
uniform50_97,514.5110,5.3880
uniform50_98,502.7370,5.3840
uniform50_99,499.7030,5.3770
uniform50_100,504.2760,5.3860
uniform50_101,513.5280,5.3820
uniform50_102,532.2740,5.3860
uniform50_103,518.2750,5.4040
uniform50_104,528.6050,5.3910
uniform50_105,502.6480,5.3790
uniform50_106,527.4950,5.3810
uniform50_107,518.0650,5.3810
uniform50_108,529.6710,5.3860
uniform50_109,512.5320,5.3810
uniform50_110,514.3520,5.3850
uniform50_111,531.5500,5.3780
uniform50_112,532.5440,5.3820
uniform50_113,538.0600,5.3780
uniform50_114,533.4310,5.3800
uniform50_115,534.3240,5.3850
uniform50_116,502.6290,5.3810
uniform50_117,518.9020,5.3820
uniform50_118,516.4270,5.3810
uniform50_119,533.1760,5.3870
uniform50_120,509.5810,5.3880
uniform50_121,536.5100,5.3880
uniform50_122,527.6920,5.4050
uniform50_123,513.7570,5.3870
uniform50_124,537.0680,5.4160
uniform50_125,494.7270,5.3900
uniform50_126,547.2730,5.3830
uniform50_127,539.6230,5.3950
uniform50_128,517.7250,5.3890
uniform50_129,514.2880,5.3820
uniform50_130,516.2350,5.3920
uniform50_131,552.3880,5.3860
uniform50_132,487.2550,5.3810
uniform50_133,557.1480,5.3780
uniform50_134,496.2710,5.3820
uniform50_135,505.2990,5.3810
uniform50_136,514.2960,5.3810
uniform50_137,524.8420,5.3870
uniform50_138,525.9220,5.3760
uniform50_139,535.5270,5.3880
uniform50_140,505.0760,5.3810
uniform50_141,519.3760,5.3850
uniform50_142,525.0880,5.3850
uniform50_143,488.8840,5.4100
uniform50_144,531.0250,5.3830
uniform50_145,543.2460,5.3900
uniform50_146,517.2580,5.3800
uniform50_147,509.8330,5.3840
uniform50_148,516.8640,5.3830
uniform50_149,533.2420,5.3860
uniform50_150,515.2200,5.3870
uniform50_151,545.2770,5.3860
uniform50_152,500.8750,5.4030
uniform50_153,541.2930,5.3740
uniform50_154,518.2140,5.3930
uniform50_155,537.7100,5.3850
uniform50_156,530.2580,5.3860
uniform50_157,527.3890,5.3860
uniform50_158,511.3880,5.3870
uniform50_159,522.3520,5.4050
uniform50_160,533.6640,5.3920
uniform50_161,506.8520,5.3890
uniform50_162,541.8250,5.4080
uniform50_163,497.8990,5.3910
uniform50_164,546.8880,5.3890
uniform50_165,504.0590,5.3830
uniform50_166,518.9690,5.3880
uniform50_167,526.2440,5.3770
uniform50_168,519.4090,5.3860
uniform50_169,532.9540,5.3880
uniform50_170,527.1090,5.3780
uniform50_171,517.0210,5.3770
uniform50_172,541.1340,5.3870
uniform50_173,550.7570,5.3950
uniform50_174,526.3870,5.3820
uniform50_175,535.9000,5.3830
uniform50_176,496.4550,5.3810
uniform50_177,513.2290,5.3920
uniform50_178,538.3130,5.3830
uniform50_179,511.5410,5.3880
uniform50_180,537.3620,5.3850
uniform50_181,520.0120,5.3790
uniform50_182,507.5350,5.3840
uniform50_183,523.5090,5.3840
uniform50_184,495.2440,5.3870
uniform50_185,518.2720,5.3830
uniform50_186,536.2600,5.3800
uniform50_187,528.5820,5.3970
uniform50_188,531.0770,5.3760
uniform50_189,523.4960,5.3890
uniform50_190,559.8800,5.3760
uniform50_191,512.3580,5.3830
uniform50_192,514.9240,5.3880
uniform50_193,508.2640,5.3840
uniform50_194,507.3790,5.4080
uniform50_195,523.1180,5.3790
uniform50_196,529.3310,5.3820
uniform50_197,534.9360,5.3860
uniform50_198,525.5550,5.3810
uniform50_199,519.2050,5.3770
uniform50_200,542.1950,5.3810
uniform50_201,519.1760,5.3820
uniform50_202,532.1960,5.3770
uniform50_203,510.0630,5.3930
uniform50_204,526.6820,5.3810
uniform50_205,519.9300,5.3850
uniform50_206,513.5140,5.3780
uniform50_207,512.8970,5.3760
uniform50_208,510.3960,5.3790
uniform50_209,525.5250,5.3910
uniform50_210,528.6060,5.3810
uniform50_211,547.2530,5.3820
uniform50_212,535.4880,5.3890
uniform50_213,521.6370,5.3810
uniform50_214,519.8650,5.3920
uniform50_215,515.4450,5.3900
uniform50_216,520.0020,5.3830
uniform50_217,513.8490,5.3890
uniform50_218,515.9100,5.3840
uniform50_219,491.4800,5.3860
uniform50_220,520.8640,5.3810
uniform50_221,510.0910,5.3760
uniform50_222,527.0670,5.3840
uniform50_223,510.3200,5.3900
uniform50_224,512.1220,5.3760
uniform50_225,532.6100,5.3870
uniform50_226,511.0820,5.3810
uniform50_227,509.8030,5.3920
uniform50_228,504.0220,5.3840
uniform50_229,542.2530,5.3790
uniform50_230,515.0760,5.3740
uniform50_231,546.0720,5.3820
uniform50_232,510.6680,5.3820
uniform50_233,521.0960,5.3820
uniform50_234,533.7670,5.3890
uniform50_235,516.9220,5.3830
uniform50_236,518.3800,5.3830
uniform50_237,537.9190,5.4000
uniform50_238,518.6940,5.3830
uniform50_239,510.0940,5.3860
uniform50_240,531.2180,5.3790
uniform50_241,515.0860,5.3820
uniform50_242,526.9640,5.3870
uniform50_243,512.9980,5.3810
uniform50_244,539.3470,5.3890
uniform50_245,519.4940,5.3880
uniform50_246,551.5200,5.3830
uniform50_247,494.6680,5.4000
uniform50_248,496.9780,5.3880
uniform50_249,538.6990,5.4300
uniform50_250,530.9970,5.3860
uniform50_251,548.3940,5.3820
uniform50_252,518.0200,5.3860
uniform50_253,513.5300,5.3790
uniform50_254,516.3680,5.3830
uniform50_255,528.3380,5.3920
